player,position,age,Guarantee,AAV,Agent,oWAR,G,PA,AB,HR,SO,OPS_,dWAR
Jason Castro,c,33,6850000,6850000,ISE,3,208,756,656,24,222,91,1.6
Josh Donaldson,3b,33,23000000,23000000,MVP Sports,13.2,320,1415,1179,78,284,146,0
Adam Jones,cf,33,3000000,3000000,CAA,8.6,444,1920,1796,70,321,103,-2.8
Jonathan Lucroy,cf,33,3350000,3350000,Excel,5.4,391,1479,1328,34,216,94,0.6
Neil Walker,1b-3b,33,2000000,2000000,Excel,5.1,337,1304,1144,48,248,106,-1
Anthony Rizzo,1b,32.327,32000000,16000000,Sports One,7,345,1432,1211,60,211,122,-1.6
Ehire Adrianza,ss,32.315,1500000,1500000,Munger,1.7,236,546,473,10,105,90,-0.2
Andrelton Simmons,ss,32.3,4000000,4000000,ISE,1.2,264,1002,928,10,115,71,3.7
Freddie Freeman,1b,32.292,162000000,27000000,Excel,11.7,377,1649,1411,82,271,143,-2
Brad Miller,2b,32.256,10000000,5000000,ISE,3.2,267,718,627,40,203,115,-1.2
Austin Romine,c,32.222,1500000,1500000,Moye Sports,1.9,186,640,600,20,164,87,1.1
Kevin Pillar,cf,32.179,5000000,3250000,All Bases Co,4.9,357,1410,1331,42,228,93,-0.8
Tommy La Stella,2b-3b,32.152,18750000,6250000,Beverly Hill,3.7,258,741,657,22,67,111,-0.8
Marwin Gonzalez,rf-1b,32.11,3000000,3000000,Boras Corp.,2.4,312,1214,1089,36,265,93,1.8
Yan Gomes,c,32,10000000,5000000,Jet Sports,4.3,314,1176,1058,42,302,90,3.2
Kole Calhoun,rf,32,16000000,8000000,PSI Sports,3.8,444,1838,1612,71,429,95,-1.6
Brock Holt,3b-rf,32,3250000,3250000,Lagardere,2.1,260,826,720,10,164,94,0.8
Brian Dozier,2b,32,9000000,9000000,All Bases Co,12.5,458,2028,1785,97,408,118,0.5
Andrew McCutchen,lf,32,50000000,16666666,Steve Hammon,9.1,464,2007,1737,72,404,116,-4
Michael Brantley,lf,32,32000000,16000000,Excel,5.4,244,1049,947,26,116,115,-0.2
Jordy Mercer,ss,32,5250000,5250000,Boras Corp.,4.5,411,1578,1415,31,258,91,-0.4
Daniel Descalso,2b-3b,32,5000000,2500000,Steve Canter,2.8,367,1110,943,31,255,95,-2
Chris Taylor,cf,31.306,60000000,15000000,Meister Spts,6.5,328,1210,1058,40,337,112,-0.1
Andrelton Simmons,ss,31.301,10500000,10500000,ISE,5.1,279,1151,1070,18,97,95,4.1
Robbie Grossman,lf,31.289,10000000,5000000,Lagardere,3.8,318,1139,982,19,207,102,-1.4
Marcus Semien,ss,31.287,175000000,25000000,Boras Corp.,14.6,377,1707,1520,85,298,129,3.3
George Springer,cf,31.286,125000000,25000000,Excel,9.9,313,1398,1212,75,273,133,1.3
Brad Miller,2b,31.257,3500000,3500000,ISE,2.7,202,595,526,27,173,113,-0.6
Freddy Galvis,ss,31.23,1500000,1500000,Rep 1,3.9,356,1404,1300,43,322,89,3.2
Adam Eaton,rf,31.208,8000000,8000000,Diamond Spor,3.9,287,1202,1044,24,202,104,-2.6
Didi Gregorius,ss,31.134,28000000,14000000,Excel,7.1,276,1150,1043,53,150,112,0.9
Jonathan Villar,2b,31.06,6000000,6000000,Wasserman,6.8,356,1426,1281,44,362,99,0.5
James McCann,c,31.019,40600000,10150000,Ballengee,3.5,267,1044,963,33,283,89,2.3
Yasmani Grandal,c,31,73000000,18250000,Wasserman,9.1,422,1632,1391,74,393,114,1.7
Mike Moustakas,3b,31,64000000,16000000,Boras Corp.,8,443,1817,1651,101,295,113,-1.2
Corey Dickerson,lf,31,17500000,8750000,Excel,6.2,363,1441,1352,52,288,121,-0.5
Jedd Gyorko,inf,31,2000000,2000000,ACES,2.9,312,984,869,33,206,102,0.7
Austin Romine,c,31,4150000,4150000,Moye Sports,1.5,229,757,699,20,174,80,1
Wilson Ramos,c,31,19000000,9500000,Octagon,7,306,1163,1072,48,195,120,0.6
Josh Harrison,2b-3b,31,2000000,2000000,MSM Sports,4.3,356,1438,1317,28,234,91,2.7
Marcus Semien,ss,30.288,18000000,18000000,Wasserman,11.7,374,1686,1500,55,283,114,3.7
Eddie Rosario,lf,30.276,18000000,9000000,Roc Nation,4.2,305,1233,1151,59,181,106,-1.6
Kolten Wong,2b,30.265,18000000,9000000,PSI Sports,5.9,328,1164,1012,21,173,101,4.2
Jake Lamb,1b,30.265,1000000,1000000,CAA,0.4,165,563,482,15,145,75,-0.2
Marcell Ozuna,lf,30.232,65000000,16250000,MDR Sports,7.1,338,1444,1295,70,284,120,-1.3
Yoshi Tsutsugo,3b-of,30.217,4000000,4000000,Wasserman,0.3,132,447,387,16,122,93,-1.2
Kris Bryant,3b,30.178,182000000,26000000,Boras Corp.,9,325,1367,1187,60,320,122,-1
Jorge Soler,dh-rf,30.126,36000000,12000000,MVP Spts,5.4,354,1455,1254,83,380,117,-4.2
Nick Castellanos,rf,30.119,100000000,20000000,Boras Corp.,8.1,349,1491,1364,75,333,124,-3.3
Mike Zunino,c,30.099,3000000,3000000,Jet Sports,0.5,231,778,714,33,285,67,2.6
Jake Marisnick,cf,30.094,1500000,1500000,Reynolds Spo,1.7,239,587,538,22,189,86,2.2
Joc Pederson,rf,30.071,6000000,6000000,Excel,3,329,1133,1000,61,262,107,-1.7
Jonathan Villar,2b,30.06,3550000,3550000,Wasserman,6.9,355,1436,1293,40,368,96,1.5
Anthony Rendon,3b,30,245000000,35000000,Boras Corp.,16.9,429,1848,1582,83,250,144,2.3
Didi Gregorius,ss,30,14000000,14000000,Excel,9.4,352,1483,1362,68,192,108,2.3
Starlin Castro,2b,30,12000000,6000000,Magnus Sport,6.6,428,1796,1672,50,328,99,-0.5
Brad Miller,2b,30,2000000,2000000,ISE,2.6,264,831,722,29,237,97,-0.2
DJ LeMahieu,2b,30,24000000,12000000,Excel,8.1,429,1898,1694,34,252,103,4.7
Yasmani Grandal,c,30,18250000,18250000,Wasserman,8,395,1457,1268,73,370,113,3.2
Marwin Gonzalez,1b-3b,30,21000000,10500000,Boras Corp.,7.1,420,1585,1428,52,343,112,-0.1
Mike Moustakas,3b,30,10000000,10000000,Boras Corp.,5.5,327,1346,1232,73,210,112,-0.8
Lonnie Chisenhall,rf,30,2750000,2750000,Turner-Gary,3.3,237,783,705,21,137,111,-0.8
Matt Adams,1b-lf,30,4000000,4000000,Wasserman,2.2,370,1031,942,57,242,109,-1.9
Jonathan Schoop,2b,29.259,4500000,4500000,Legacy Sport,3.7,296,1142,1068,52,270,96,2.4
Trevor Story,ss,29.228,140000000,23333333,Excel,10.3,346,1510,1349,70,376,114,5.3
Kyle Schwarber,lf,29.118,79000000,19750000,Excel,7,327,1305,1119,81,349,126,-2.7
Joc Pederson,cf,29.071,7000000,7000000,Excel,4.6,340,1095,966,68,230,120,-1.2
Marcell Ozuna,lf,29,18000000,18000000,MDR Sports,9.4,437,1856,1680,89,368,122,-0.8
Freddy Galvis,ss,29,5000000,5000000,GSE,4.2,482,1943,1794,45,394,82,3.5
Jurickson Profar,2b-of,28.132,21000000,7000000,Boras Corp.,5.9,341,1314,1163,47,191,102,-2.4
Corey Seager,ss,28.065,325000000,32500000,Boras Corp.,9.2,281,1182,1054,50,201,131,0.9
Nick Castellanos,3b,28,64000000,16000000,Boras Corp.,11.1,465,2007,1849,76,436,121,-6.4
Jonathan Schoop,2b-3b,28,6100000,6100000,Legacy Agenc,7.5,412,1640,1528,76,373,106,4.2
Wilmer Flores,of,28,6250000,3125000,McNamara Bas,3.4,325,1076,987,38,127,110,-2.2
Carlos Correa,ss,27.282,105300000,35100000,Boras Corp.,8.9,281,1182,1036,52,240,126,5.3
Manny Machado,ss,26,300000000,30000000,MVP Sports,14.7,475,2095,1902,107,339,128,4.5
Bryce Harper,rf,26,330000000,25384615,Boras Corp.,10.3,417,1814,1476,87,385,133,-3.5
